gene	chrom	start	end	display_start	display_end	bamsnap	wally	svhawkeye
ARL11	chr13	49628479	49632232	49626479	49634232	RNA_chr13_49626479_49634232.png	chr13_49626479_49634232.png	chr13_49626479_49634232.e100.png
B3GAT2	chr6	70857209	70956073	70855209	70958073	RNA_chr6_70855209_70958073.png	chr6_70855209_70958073.png	chr6_70855209_70958073.e100.png
BGN	chrX	153494940	153509546	153492940	153511546	RNA_chrX_153492940_153511546.png	chrX_153492940_153511546.png	chrX_153492940_153511546.e100.png
BTG2	chr1	203305467	203309602	203303467	203311602	RNA_chr1_203303467_203311602.png	chr1_203303467_203311602.png	chr1_203303467_203311602.e100.png
C22orf42	chr22	32148500	32159310	32146500	32161310	RNA_chr22_32146500_32161310.png	chr22_32146500_32161310.png	chr22_32146500_32161310.e100.png
CSDC2	chr22	41560754	41576667	41558754	41578667	RNA_chr22_41558754_41578667.png	chr22_41558754_41578667.png	chr22_41558754_41578667.e100.png
CYSRT1	chr9	137221613	137226315	137219613	137228315	RNA_chr9_137219613_137228315.png	chr9_137219613_137228315.png	chr9_137219613_137228315.e100.png
DEGS2	chr14	100143955	100192859	100141955	100194859	RNA_chr14_100141955_100194859.png	chr14_100141955_100194859.png	chr14_100141955_100194859.e100.png
DGAT2	chr11	75768726	75801534	75766726	75803534	RNA_chr11_75766726_75803534.png	chr11_75766726_75803534.png	chr11_75766726_75803534.e100.png
DLX4	chr17	49968571	49974957	49966571	49976957	RNA_chr17_49966571_49976957.png	chr17_49966571_49976957.png	chr17_49966571_49976957.e100.png
DNLZ	chr9	136359490	136363754	136357490	136365754	RNA_chr9_136357490_136365754.png	chr9_136357490_136365754.png	chr9_136357490_136365754.e100.png
DUSP4	chr8	29333062	29350741	29331062	29352741	RNA_chr8_29331062_29352741.png	chr8_29331062_29352741.png	chr8_29331062_29352741.e100.png
FAM241A	chr4	112145452	112189081	112143452	112191081	RNA_chr4_112143452_112191081.png	chr4_112143452_112191081.png	chr4_112143452_112191081.e100.png
FRZB	chr2	182834007	182867120	182832007	182869120	RNA_chr2_182832007_182869120.png	chr2_182832007_182869120.png	chr2_182832007_182869120.e100.png
GFRA3	chr5	138252376	138274616	138250376	138276616	RNA_chr5_138250376_138276616.png	chr5_138250376_138276616.png	chr5_138250376_138276616.e100.png
GPR3	chr1	27392614	27395814	27390614	27397814	RNA_chr1_27390614_27397814.png	chr1_27390614_27397814.png	chr1_27390614_27397814.e100.png
HBEGF	chr5	140332839	140346604	140330839	140348604	RNA_chr5_140330839_140348604.png	chr5_140330839_140348604.png	chr5_140330839_140348604.e100.png
HES2	chr1	6413045	6419919	6411045	6421919		chr1_6411045_6421919.png	chr1_6411045_6421919.e100.png
IFFO2	chr1	18902989	19006164	18900989	19008164	RNA_chr1_18900989_19008164.png	chr1_18900989_19008164.png	chr1_18900989_19008164.e100.png
IFIT5	chr10	89414741	89419924	89412741	89421924	RNA_chr10_89412741_89421924.png	chr10_89412741_89421924.png	chr10_89412741_89421924.e100.png
LBX2	chr2	74497515	74503110	74495515	74505110	RNA_chr2_74495515_74505110.png	chr2_74495515_74505110.png	chr2_74495515_74505110.e100.png
MPZL3	chr11	118226692	118252347	118224692	118254347	RNA_chr11_118224692_118254347.png	chr11_118224692_118254347.png	chr11_118224692_118254347.e100.png
MSC	chr8	71841560	71844496	71839560	71846496	RNA_chr8_71839560_71846496.png	chr8_71839560_71846496.png	chr8_71839560_71846496.e100.png
NEUROG3	chr10	69571483	69573500	69569483	69575500	RNA_chr10_69569483_69575500.png	chr10_69569483_69575500.png	chr10_69569483_69575500.e100.png
PID1	chr2	229249193	229271947	229247193	229273947	RNA_chr2_229247193_229273947.png	chr2_229247193_229273947.png	chr2_229247193_229273947.e100.png
PLAC9	chr10	80132504	80145064	80130504	80147064	RNA_chr10_80130504_80147064.png	chr10_80130504_80147064.png	chr10_80130504_80147064.e100.png
PLLP	chr16	57256089	57284674	57254089	57286674	RNA_chr16_57254089_57286674.png	chr16_57254089_57286674.png	chr16_57254089_57286674.e100.png
POMGNT2	chr3	42992758	43106092	42990758	43108092	RNA_chr3_42990758_43108092.png	chr3_42990758_43108092.png	chr3_42990758_43108092.e100.png
RERG	chr12	15107781	15221417	15105781	15223417	RNA_chr12_15105781_15223417.png	chr12_15105781_15223417.png	chr12_15105781_15223417.e100.png
RGS4	chr1	163068891	163076594	163066891	163078594	RNA_chr1_163066891_163078594.png	chr1_163066891_163078594.png	chr1_163066891_163078594.e100.png
RHCG	chr15	89477364	89496559	89475364	89498559	RNA_chr15_89475364_89498559.png	chr15_89475364_89498559.png	chr15_89475364_89498559.e100.png
SGPP1	chr14	63684214	63728067	63682214	63730067	RNA_chr14_63682214_63730067.png	chr14_63682214_63730067.png	chr14_63682214_63730067.e100.png
SLC38A3	chr3	50205271	50220971	50203271	50222971	RNA_chr3_50203271_50222971.png	chr3_50203271_50222971.png	chr3_50203271_50222971.e100.png
SYT4	chr18	43267891	43277542	43265891	43279542	RNA_chr18_43265891_43279542.png	chr18_43265891_43279542.png	chr18_43265891_43279542.e100.png
TIFA	chr4	112276920	112285837	112274920	112287837	RNA_chr4_112274920_112287837.png	chr4_112274920_112287837.png	chr4_112274920_112287837.e100.png
