SV_type	ID	tool	original_filename	gallery_path
DUP	DUP1	Bamsnap-LRS	duplication_ONT_chr1_25904228_25915034.png	assets/DUP/bamsnap-lrs/DUP1.png
DUP	DUP1	SVhawkeye	chr1_25906228_25913034.e2000.png	assets/DUP/svhawkeye/DUP1.png
DUP	DUP2	Bamsnap-LRS	duplication_ONT_chr1_30649347_30653951.png	assets/DUP/bamsnap-lrs/DUP2.png
DUP	DUP2	SVhawkeye	chr1_30651347_30651951.e2000.png	assets/DUP/svhawkeye/DUP2.png
DUP	DUP3	Bamsnap-LRS	duplication_ONT_chr1_44705160_44723553.png	assets/DUP/bamsnap-lrs/DUP3.png
DUP	DUP3	SVhawkeye	chr1_44707160_44721553.e2000.png	assets/DUP/svhawkeye/DUP3.png
DUP	DUP4	Bamsnap-LRS	duplication_ONT_chr1_77227481_77237972.png	assets/DUP/bamsnap-lrs/DUP4.png
DUP	DUP4	SVhawkeye	chr1_77229481_77235972.e2000.png	assets/DUP/svhawkeye/DUP4.png
DUP	DUP5	Bamsnap-LRS	duplication_ONT_chr1_109416915_109423815.png	assets/DUP/bamsnap-lrs/DUP5.png
DUP	DUP5	SVhawkeye	chr1_109418915_109421815.e2000.png	assets/DUP/svhawkeye/DUP5.png
DUP	DUP6	Bamsnap-LRS	duplication_ONT_chr1_114263458_114274009.png	assets/DUP/bamsnap-lrs/DUP6.png
DUP	DUP6	SVhawkeye	chr1_114265458_114272009.e2000.png	assets/DUP/svhawkeye/DUP6.png
DUP	DUP7	Bamsnap-LRS	duplication_ONT_chr1_156916007_156932481.png	assets/DUP/bamsnap-lrs/DUP7.png
DUP	DUP7	SVhawkeye	chr1_156918007_156930481.e2000.png	assets/DUP/svhawkeye/DUP7.png
DUP	DUP8	Bamsnap-LRS	duplication_ONT_chr1_186866660_186881338.png	assets/DUP/bamsnap-lrs/DUP8.png
DUP	DUP8	SVhawkeye	chr1_186868660_186879338.e2000.png	assets/DUP/svhawkeye/DUP8.png
DUP	DUP9	Bamsnap-LRS	duplication_ONT_chr1_223825731_223846190.png	assets/DUP/bamsnap-lrs/DUP9.png
DUP	DUP9	SVhawkeye	chr1_223827731_223844190.e2000.png	assets/DUP/svhawkeye/DUP9.png
DUP	DUP10	Bamsnap-LRS	duplication_ONT_chr10_26933698_26942379.png	assets/DUP/bamsnap-lrs/DUP10.png
DUP	DUP10	SVhawkeye	chr10_26935698_26940379.e2000.png	assets/DUP/svhawkeye/DUP10.png
DUP	DUP11	Bamsnap-LRS	duplication_ONT_chr10_31835970_31847777.png	assets/DUP/bamsnap-lrs/DUP11.png
