gene	chrom	display_start	display_end	span	bamsnap_source	wally_source	svhawkeye_source
ANGPT1	chr8	107248481	107499054	250573	RNA_chr8_107248481_107499054.png	ANGPT1.png	chr8_107248481_107499054.e100.png
ARL11	chr13	49627459	49635841	8382	RNA_chr13_49627459_49635841.png	ARL11.png	chr13_49627459_49635841.e100.png
B3GAT2	chr6	70852482	70958054	105572	RNA_chr6_70852482_70958054.png	B3GAT2.png	chr6_70852482_70958054.e100.png
BGN	chrX	153493926	153510547	16621	RNA_chrX_153493926_153510547.png	BGN.png	chrX_153493926_153510547.e100.png
BTG2	chr1	203304497	203310630	6133	RNA_chr1_203304497_203310630.png	BTG2.png	chr1_203304497_203310630.e100.png
C22orf42	chr22	32147501	32160301	12800	RNA_chr22_32147501_32160301.png	C22orf42.png	chr22_32147501_32160301.e100.png
CSDC2	chr22	41560002	41577667	17665	RNA_chr22_41560002_41577667.png	CSDC2.png	chr22_41560002_41577667.e100.png
CXCL16	chr17	4731907	4741036	9129	RNA_chr17_4731907_4741036.png	CXCL16.png	chr17_4731907_4741036.e100.png
CYSRT1	chr9	137221023	137227315	6292	RNA_chr9_137221023_137227315.png	CYSRT1.png	chr9_137221023_137227315.e100.png
DEGS2	chr14	100142980	100193849	50869	RNA_chr14_100142980_100193849.png	DEGS2.png	chr14_100142980_100193849.e100.png
DGAT2	chr11	75767723	75805169	37446	RNA_chr11_75767723_75805169.png	DGAT2.png	chr11_75767723_75805169.e100.png
DLX4	chr17	49967564	49975971	8407	RNA_chr17_49967564_49975971.png	DLX4.png	chr17_49967564_49975971.e100.png
DNLZ	chr9	136357812	136364788	6976	RNA_chr9_136357812_136364788.png	DNLZ.png	chr9_136357812_136364788.e100.png
DUSP4	chr8	29332063	29351796	19733	RNA_chr8_29332063_29351796.png	DUSP4.png	chr8_29332063_29351796.e100.png
FAM241A	chr4	112144387	112190025	45638	RNA_chr4_112144387_112190025.png	FAM241A.png	chr4_112144387_112190025.e100.png
FRZB	chr2	182832274	182868832	36558	RNA_chr2_182832274_182868832.png	FRZB.png	chr2_182832274_182868832.e100.png
GFRA3	chr5	138251377	138275621	24244	RNA_chr5_138251377_138275621.png	GFRA3.png	chr5_138251377_138275621.e100.png
GPR3	chr1	27391592	27396816	5224	RNA_chr1_27391592_27396816.png	GPR3.png	chr1_27391592_27396816.e100.png
HBEGF	chr5	140331842	140347639	15797	RNA_chr5_140331842_140347639.png	HBEGF.png	chr5_140331842_140347639.e100.png
HES2	chr1	6414238	6420913	6675	RNA_chr1_6414238_6420913.png	HES2.png	chr1_6414238_6420913.e100.png
HEY1	chr8	79763009	79769341	6332	RNA_chr8_79763009_79769341.png	HEY1.png	chr8_79763009_79769341.e100.png
IFFO2	chr1	18903279	18957676	54397	RNA_chr1_18903279_18957676.png	IFFO2.png	chr1_18903279_18957676.e100.png
IFIT5	chr10	89413609	89422002	8393	RNA_chr10_89413609_89422002.png	IFIT5.png	chr10_89413609_89422002.e100.png
KCNJ8	chr12	21763951	21775806	11855	RNA_chr12_21763951_21775806.png	KCNJ8.png	chr12_21763951_21775806.e100.png
LBX2	chr2	74496517	74504110	7593	RNA_chr2_74496517_74504110.png	LBX2.png	chr2_74496517_74504110.e100.png
MPZL3	chr11	118225602	118253367	27765	RNA_chr11_118225602_118253367.png	MPZL3.png	chr11_118225602_118253367.e100.png
MSC	chr8	71840550	71845511	4961	RNA_chr8_71840550_71845511.png	MSC.png	chr8_71840550_71845511.e100.png
NEUROG3	chr10	69570481	69574674	4193	RNA_chr10_69570481_69574674.png	NEUROG3.png	chr10_69570481_69574674.e100.png
NPW	chr16	2008914	2021756	12842	RNA_chr16_2008914_2021756.png	NPW.png	chr16_2008914_2021756.e100.png
PDXP	chr22	37657603	37667935	10332	RNA_chr22_37657603_37667935.png	PDXP.png	chr22_37657603_37667935.e100.png
PEX12	chr17	35573794	35579963	6169	RNA_chr17_35573794_35579963.png	PEX12.png	chr17_35573794_35579963.e100.png
PID1	chr2	229022972	229272372	249400	RNA_chr2_229022972_229272372.png	PID1.png	chr2_229022972_229272372.e100.png
PLAC9	chr10	80131485	80146064	14579	RNA_chr10_80131485_80146064.png	PLAC9.png	chr10_80131485_80146064.e100.png
PLLP	chr16	57255089	57285727	30638	RNA_chr16_57255089_57285727.png	PLLP.png	chr16_57255089_57285727.e100.png
POMGNT2	chr3	42991759	43107094	115335	RNA_chr3_42991759_43107094.png	POMGNT2.png	chr3_42991759_43107094.e100.png
PPP1R3C	chr10	91627441	91634361	6920	RNA_chr10_91627441_91634361.png	PPP1R3C.png	chr10_91627441_91634361.e100.png
PRAF2	chrX	49070121	49075025	4904	RNA_chrX_49070121_49075025.png	PRAF2.png	chrX_49070121_49075025.e100.png
RAB33B	chr4	139452219	139476916	24697	RNA_chr4_139452219_139476916.png	RAB33B.png	chr4_139452219_139476916.e100.png
RCAN1	chr21	34515441	34616313	100872	RNA_chr21_34515441_34616313.png	RCAN1.png	chr21_34515441_34616313.e100.png
RERG	chr12	15106782	15222417	115635	RNA_chr12_15106782_15222417.png	RERG.png	chr12_15106782_15222417.e100.png
RGS4	chr1	163068360	163077593	9233	RNA_chr1_163068360_163077593.png	RGS4.png	chr1_163068360_163077593.e100.png
RHCG	chr15	89470410	89497583	27173	RNA_chr15_89470410_89497583.png	RHCG.png	chr15_89470410_89497583.e100.png
SGPP1	chr14	63683212	63729117	45905	RNA_chr14_63683212_63729117.png	SGPP1.png	chr14_63683212_63729117.e100.png
SLC38A3	chr3	50204245	50221974	17729	RNA_chr3_50204245_50221974.png	SLC38A3.png	chr3_50204245_50221974.e100.png
SPON2	chr4	1165927	1173843	7916	RNA_chr4_1165927_1173843.png	SPON2.png	chr4_1165927_1173843.e100.png
SYT4	chr18	43266881	43278619	11738	RNA_chr18_43266881_43278619.png	SYT4.png	chr18_43266881_43278619.e100.png
TIFA	chr4	112271968	112286955	14987	RNA_chr4_112271968_112286955.png	TIFA.png	chr4_112271968_112286955.e100.png
UBXN10	chr1	20185031	20197049	12018	RNA_chr1_20185031_20197049.png	UBXN10.png	chr1_20185031_20197049.e100.png
ZADH2	chr18	75194107	75210606	16499	RNA_chr18_75194107_75210606.png	ZADH2.png	chr18_75194107_75210606.e100.png
ZCCHC12	chrX	118822824	118827968	5144	RNA_chrX_118822824_118827968.png	ZCCHC12.png	chrX_118822824_118827968.e100.png
